name,party,office,id,gunControlDirect,gunRightsDirect,gunControlSupport,gunControlOpposed,gunRightsSupport,gunRightsOpposed,net,rank
"Higgins, Brian M",D,H,NY26,1000,6000,0,0,0,0,5000,251
"Fulcher, Russ",R,H,ID01,0,5000,0,0,0,0,5000,252
"Joyce, John",R,H,PA13,0,3000,0,0,1718,0,4718,253
"Timmons, William",R,H,SC04,0,4000,0,0,124,0,4124,254
"Keller, Fred",R,H,PA12,0,3550,0,0,0,0,3550,255
"Hern, Kevin",R,H,OK01,0,3000,0,0,0,0,3000,256
"Roe, Phil",R,H,TN01,0,0,0,0,2115,0,2115,257
"Murphy, Greg",R,H,NC03,0,1500,0,0,0,0,1500,258
"Clyburn, James E",D,H,SC06,3255,4950,0,0,0,388,1307,259
"Rooney, Francis",R,H,FL19,0,1000,0,0,130,0,1130,260
"DeFazio, Peter",D,H,OR04,1975,3000,0,0,0,0,1025,261
"Vela, Filemon",D,H,TX34,1000,2000,0,0,0,0,1000,262
"Van Drew, Jeff",D,H,NJ02,0,1000,0,0,0,0,1000,263
"Gonzalez, Vicente",D,H,TX15,0,1000,0,0,0,0,1000,264
"Welch, Peter",D,H,VT01,0,1000,0,0,0,0,1000,265
"Costa, Jim",D,H,CA16,2000,2900,0,0,0,0,900,266
"Sanders, Bernie",D,S,VTS1,0,0,0,0,238,0,238,267
"Grijalva, Raul M",D,H,AZ03,0,0,0,0,0,0,0,268
"Huffman, Jared",D,H,CA02,0,0,0,0,0,0,0,269
"Garamendi, John",D,H,CA03,0,0,0,0,0,0,0,270
"Desaulnier, Mark",D,H,CA11,0,0,0,0,0,0,0,271
"Khanna, Ro",D,H,CA17,0,0,0,0,0,0,0,272
"Panetta, Jimmy",D,H,CA20,0,0,0,0,0,0,0,273
"Brownley, Julia",D,H,CA26,0,0,0,0,0,0,0,274
"Chu, Judy",D,H,CA27,0,0,0,0,0,0,0,275
"Cardenas, Tony",D,H,CA29,0,0,0,0,0,0,0,276
"Gomez, Jimmy",D,H,CA34,0,0,0,0,0,0,0,277
"Ruiz, Raul",D,H,CA36,0,0,0,0,0,0,0,278
"Barragan, Nanette",D,H,CA44,0,0,0,0,0,0,0,279
