name,party,office,id,gunControlDirect,gunRightsDirect,gunControlSupport,gunControlOpposed,gunRightsSupport,gunRightsOpposed,net,rank
"Aguilar, Pete",D,H,CA31,3100,0,0,0,0,0,-3100,399
"Dean, Madeleine",D,H,PA04,3125,0,0,0,0,0,-3125,400
"Neguse, Joseph",D,H,CO02,3150,0,0,0,0,0,-3150,401
"Lowey, Nita M",D,H,NY17,2914,0,0,0,0,252,-3166,402
"Lamb, Conor",D,H,PA17,2025,0,0,0,0,1171,-3196,403
"Carbajal, Salud",D,H,CA24,3250,0,0,0,0,0,-3250,404
"DelBene, Suzan",D,H,WA01,3250,0,0,0,0,0,-3250,405
"Engel, Eliot L",D,H,NY16,3000,0,0,0,0,252,-3252,406
"Smith, Chris",R,H,NJ04,3000,0,0,0,0,256,-3256,407
"Boyle, Brendan",D,H,PA02,3400,0,0,0,0,0,-3400,408
"Castro, Joaquin",D,H,TX20,3500,0,0,0,0,0,-3500,409
"Lofgren, Zoe",D,H,CA19,3700,0,0,0,0,278,-3978,410
"Richmond, Cedric",D,H,LA02,4000,0,0,0,0,0,-4000,411
"Lewis, John",D,H,GA05,3650,0,0,0,0,446,-4096,412
"Pascrell, Bill Jr",D,H,NJ09,3861,0,0,0,0,256,-4117,413
"Scanlon, Mary Gay",D,H,PA05,4125,0,0,0,0,0,-4125,414
"Reed, Jack",D,S,RIS2,4450,0,0,0,0,0,-4450,415
"Menendez, Robert",D,S,NJS1,4250,0,0,0,0,256,-4506,416
"Jayapal, Pramila",D,H,WA07,4558,0,0,0,0,0,-4558,417
"McEachin, Donald",D,H,VA04,4700,0,0,0,0,0,-4700,418
"Duckworth, Tammy",D,S,ILS2,4859,0,0,0,0,0,-4859,419
"McAdams, Ben",D,H,UT04,0,0,0,0,0,4979,-4979,420
"Stevens, Haley",D,H,MI11,5255,0,0,0,0,0,-5255,421
"Gillibrand, Kirsten",D,S,NYS1,7590,0,2050,0,4259,0,-5381,422
"Lee, Barbara",D,H,CA13,5295,0,0,0,0,278,-5573,423
"Jackson Lee, Sheila",D,H,TX18,5250,0,0,0,0,414,-5664,424
"Hayes, Jahana",D,H,CT05,5800,0,0,0,0,0,-5800,425
"Stanton, Greg",D,H,AZ09,5825,0,0,0,0,0,-5825,426
"Speier, Jackie",D,H,CA14,5975,0,0,0,0,0,-5975,427
"DeGette, Diana",D,H,CO01,6250,0,0,0,0,0,-6250,428
"McCollum, Betty",D,H,MN04,5867,0,0,0,0,427,-6294,429
"McGovern, James P",D,H,MA02,5908,0,0,0,0,442,-6350,430
"Demings, Val",D,H,FL10,6300,0,0,0,0,93,-6393,431
"Takano, Mark",D,H,CA41,6500,0,0,0,0,0,-6500,432
"Raskin, Jamie",D,H,MD08,6528,0,0,0,0,0,-6528,433
"Fitzpatrick, Brian",R,H,PA01,8500,1950,0,0,0,0,-6550,434
"Escobar, Veronica",D,H,TX16,6705,0,0,0,0,0,-6705,435
"Clark, Katherine",D,H,MA05,6785,0,0,0,0,0,-6785,436
"Perlmutter, Ed",D,H,CO07,6800,0,0,0,0,0,-6800,437
"Swalwell, Eric",D,H,CA15,6900,0,0,0,0,0,-6900,438
"DeLauro, Rosa L",D,H,CT03,6643,0,0,0,0,326,-6969,439
"Dingell, Debbie",D,H,MI12,7025,0,0,0,0,0,-7025,440
"Suozzi, Tom",D,H,NY03,7200,0,0,0,0,0,-7200,441
"Cantwell, Maria",D,S,WAS1,4000,0,3134,0,0,496,-7630,442
"Cunningham, Joe",D,H,SC01,0,0,0,0,0,7678,-7678,443
"Kuster, Ann",D,H,NH02,7740,0,0,0,0,0,-7740,444
"Mucarsel-Powell, Debbie",D,H,FL26,8136,0,0,0,0,0,-8136,445
"Cicilline, David",D,H,RI01,9470,0,0,0,0,0,-9470,446
"Larsen, Rick",D,H,WA02,9000,0,0,0,0,496,-9496,447
"Cisneros, Gil",D,H,CA39,5018,0,0,0,0,4489,-9507,448
"Courtney, Joe",D,H,CT02,9510,0,0,0,0,0,-9510,449
"Nadler, Jerrold",D,H,NY10,9270,0,0,0,0,252,-9522,450
"Hoyer, Steny H",D,H,MD05,9350,0,0,0,0,315,-9665,451
"Smith, Adam",D,H,WA09,10400,0,0,0,518,0,-9882,452
"Bustos, Cheri",D,H,IL17,10210,0,0,0,0,0,-10210,453
"Davids, Sharice",D,H,KS03,3880,0,0,0,0,6335,-10215,454
"Deutch, Ted",D,H,FL22,10250,0,0,0,0,0,-10250,455
"Carper, Tom",D,S,DES1,10500,0,0,0,0,0,-10500,456
"Jeffries, Hakeem",D,H,NY08,10500,0,0,0,0,0,-10500,457
"Pappas, Chris",D,H,NH01,10838,0,0,0,0,0,-10838,458
"Slotkin, Elissa",D,H,MI08,9901,0,0,0,0,952,-10853,459
"Golden, Jared",D,H,ME02,26,2000,0,0,0,13778,-11804,460
"Van Hollen, Chris",D,S,MDS2,11980,0,0,0,0,0,-11980,461
"Klobuchar, Amy",D,S,MNS2,16235,4000,0,0,0,2,-12237,462
"Maloney, Carolyn B",D,H,NY12,12249,0,0,0,0,252,-12501,463
"Smith, Tina",D,S,MNS1,12496,0,0,0,0,195,-12691,464
"Kennedy, Joe III",D,H,MA04,12993,0,0,0,0,0,-12993,465
"Small, Xochitl Torres",D,H,NM02,3307,0,0,0,0,10038,-13345,466
"Whitehouse, Sheldon",D,S,RIS1,13593,0,0,0,0,0,-13593,467
"Price, David",D,H,NC04,13350,0,0,0,0,449,-13799,468
"Pelosi, Nancy",D,H,CA12,13671,0,0,0,0,278,-13949,469
"Himes, Jim",D,H,CT04,14100,0,0,0,0,0,-14100,470
"Houlahan, Chrissy",D,H,PA06,14300,0,0,0,0,0,-14300,471
"Finkenauer, Abby",D,H,IA01,1071,0,0,0,0,13352,-14423,472
"Rose, Max",D,H,NY11,14600,0,0,0,0,0,-14600,473
"Markey, Ed",D,S,MAS2,14325,0,0,0,0,442,-14767,474
"Horsford, Steven",D,H,NV04,15500,1000,343,0,0,0,-14843,475
"Murray, Patty",D,S,WAS2,9329,0,0,0,0,6704,-16033,476
"Wild, Susan",D,H,PA07,16743,13,0,0,0,241,-16971,477
"Titus, Dina",D,H,NV01,1725,0,0,0,0,15613,-17338,478
"Schiff, Adam",D,H,CA28,15440,0,0,0,0,2191,-17631,479
"Peters, Gary",D,S,MIS1,0,0,17263,0,0,511,-17774,480
"Durbin, Dick",D,S,ILS1,18299,0,0,0,0,0,-18299,481
"Schrier, Kim",D,H,WA08,16585,0,0,0,0,1735,-18320,482
"Kirkpatrick, Ann",D,H,AZ02,12911,0,0,0,0,5851,-18762,483
"Beyer, Don",D,H,VA08,18830,0,0,0,0,0,-18830,484
"Harder, Josh",D,H,CA10,15398,13,0,0,0,5441,-20826,485
"Schumer, Charles E",D,S,NYS2,20864,0,0,0,0,0,-20864,486
"O'Halleran, Tom",D,H,AZ01,18380,0,0,0,0,2991,-21371,487
"Booker, Cory",D,S,NJS2,0,0,0,0,0,23641,-23641,488
"Malinowski, Tom",D,H,NJ07,23842,0,0,0,0,0,-23842,489
"Lee, Susie",D,H,NV03,16150,0,7455,0,0,885,-24490,490
"Brindisi, Anthony",D,H,NY22,12581,0,0,0,0,11991,-24572,491
"Underwood, Lauren A",D,H,IL14,14907,0,0,0,0,10172,-25079,492
"Rouda, Harley",D,H,CA48,17149,0,7150,0,0,1314,-25613,493
"Feinstein, Dianne",D,S,CAS2,27103,0,0,0,0,278,-27381,494
"King, Angus",I,S,MES1,25460,0,0,0,0,2686,-28146,495
"Gottheimer, Josh",D,H,NJ05,28500,0,0,0,0,0,-28500,496
"Murphy, Stephanie",D,H,FL07,21800,0,7150,0,0,0,-28950,497
"Fletcher, Lizzie",D,H,TX07,22818,13,1664,0,0,4779,-29248,498
"Allred, Colin",D,H,TX32,22992,13,0,0,0,7251,-30230,499
"Coons, Chris",D,S,DES2,3240,0,0,0,26000,53061,-30301,500
"Sherrill, Mikie",D,H,NJ11,25492,0,4899,0,63,0,-30328,501
"Levin, Mike",D,H,CA49,30352,13,0,0,0,742,-31081,502
"Porter, Katie",D,H,CA45,27836,0,0,0,0,5875,-33711,503
"Stabenow, Debbie",D,S,MIS2,37289,2000,1566,0,0,5101,-41956,504
"Kim, Andy",D,H,NJ03,22895,0,5807,0,0,15478,-44180,505
"Hill, Katie",D,H,CA25,39124,0,0,0,0,6842,-45966,506
"Delgado, Antonio",D,H,NY19,31377,0,1864,0,0,14761,-48002,507
"Hassan, Maggie",D,S,NHS1,0,0,0,0,0,48098,-48098,508
"Wexton, Jennifer",D,H,VA10,36853,13,6734,0,0,6226,-49800,509
"Casey, Bob",D,S,PAS2,29575,0,0,0,0,20403,-49978,510
"Rosen, Jacky",D,S,NVS1,22946,13,0,0,0,29773,-52706,511
"Spanberger, Abigail",D,H,VA07,21228,0,19458,0,0,12154,-52840,512
"Axne, Cindy",D,H,IA03,8317,0,0,0,0,47281,-55598,513
"Blumenthal, Richard",D,S,CTS2,2654,0,0,0,0,55221,-57875,514
"Warren, Elizabeth",D,S,MAS1,61888,0,0,0,0,3927,-65815,515
"Kelly, Robin",D,H,IL02,11500,0,64532,0,0,0,-76032,516
"Luria, Elaine",D,H,VA02,23559,0,59838,0,0,7888,-91285,517
"Jones, Doug",D,S,ALS1,17418,0,0,0,0,88230,-105648,518
"Murphy, Christopher S",D,S,CTS1,22643,0,0,0,0,85074,-107717,519
"Manchin, Joe",D,S,WVS1,2000,20700,0,0,27634,260382,-214048,520
"Warner, Mark",D,S,VAS2,11737,5500,41000,0,0,204731,-251968,521
"Sinema, Kyrsten",D,S,AZS2,1000,0,200000,0,0,93492,-294492,522
"Craig, Angie",D,H,MN02,4150,0,334129,0,0,616,-338895,523
"Shaheen, Jeanne",D,S,NHS2,3750,0,130845,0,0,251409,-386004,524
"Baldwin, Tammy",D,S,WIS1,59857,0,0,0,0,391750,-451607,525
"Collins, Susan M",R,S,MES2,0,19800,536098,0,0,1701,-517999,526
"Tester, Jon",D,S,MTS1,36810,2500,0,0,0,567482,-601792,527
"Kaine, Tim",D,S,VAS1,87383,0,0,0,0,612441,-699824,528
"Crow, Jason",D,H,CO06,66707,13,747143,0,0,1321,-815158,529
"Brown, Sherrod",D,S,OHS1,49803,0,0,0,0,907595,-957398,530
"Masto, Catherine Cortez",D,S,NVS2,26861,0,0,0,0,2422829,-2449690,531
"McBath, Lucy",D,H,GA06,32795,0,4209492,0,0,5502,-4247789,532
